relationship_id,citation_key,mechanism,predictor,predictor_value,predictor_range,predictor_unit,response,response_value,response_unit,response_uncertainty,relationship_type,effect_direction,model_or_value,species,life_stage,fish_size,acclimation,structure_type,structure_detail,operating_point,geometry,n,exposure_pathway,outcome_timing,source_location,extraction_method,digitized_points_file,confidence,notes
Martinez2025_r03,Martinez2025,barotrauma,geometry,,,runner type,nadir_pressure,,,,categorical,nonmonotonic,IFP fixed-blade runner vs baseline runner changes nadir-pressure distribution,n/a (CFD),n/a,,,Kaplan (CFD),fixed-blade vs baseline,,,,,n/a,p.10-11,reported,,Mined,runner geometry as a design lever on barotrauma exposure
Pauwels2020_r01,Pauwels2020,barotrauma,rpc_AN,,,ratio_PA/PN,injury;mortality,,%,,point,increases,multi-species injury/mortality during downstream passage at a large facility,multiple,mixed,,,large hydropower (field),,,,,,immediate+latent,Results,reported,,Mined,field study; RPC + nadir; high reproducibility tier (88%)
Zitek2026_r03,Zitek2026,barotrauma,rpc_AN,2.7,,ratio_PA/PN,mortality_mortal_injury,50,%,,threshold,increases,50% mortally injured at RPC 2.7 (LN(PA/PN) logistic),Common nase (Chondrostoma nasus);Roach (Rutilus rutilus),larva,,,barotrauma chamber,,,,,,latent_24h,Results p.3; Fig 2,read_from_table,,Mined,physostomous Cypriniformes; HIGH susceptibility (two-chambered swim bladder) - counter to physostome-tolerant rule
Zitek2026_r04,Zitek2026,barotrauma,rpc_AN,11,10-12,ratio_PA/PN,mortality_mortal_injury,50,%,,threshold,increases,50% mortally injured at RPC 10-12 (most tolerant),European grayling (Thymallus thymallus);European perch (Perca fluviatilis),juvenile,,,barotrauma chamber,,,,,,latent_24h,Results p.3; Fig 2,read_from_table,,Mined,lowest susceptibility - juveniles with not-fully-developed swim bladder
Zitek2026_r05,Zitek2026,barotrauma,swimbladder,,,categorical,mortality_mortal_injury,,,,categorical,nonmonotonic,"susceptibility set by swim-bladder morphology/development, not physostome/physoclist alone","multiple (nase, roach, perch, grayling)",larva;juvenile,,,barotrauma chamber,,,,,,latent_24h,Discussion p.5,reported,,Mined,qualifies the physostome>=tolerant axis: two-chambered Cypriniformes are highly susceptible
BladeBRM_americaneel,Pflugrath2020c,blade strike,strike velocity,14.2,,m/s,mortality,,,,threshold,increase,E50 (strike velocity at 50% of asymptotic whole-fish mortality; max=0.38),American eel (Anguilla rostrata),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 5,reported,,Mined,from runnable model DRM_bld_curv_americaneel (Eqn 10); see dose_response_models.csv
BladeBRM_americanshadandblueb,Pflugrath2020c,blade strike,strike velocity,8.5,,m/s,mortality,,,,threshold,increase,E50 (strike velocity at 50% of asymptotic whole-fish mortality; max=0.55),American shad and blueback herring (Alosa spp.),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 5,reported,,Mined,from runnable model DRM_bld_curv_americanshadandblueb (Eqn 10); see dose_response_models.csv
BladeBRM_bluegillsunfish,Pflugrath2020c,blade strike,strike velocity,7.5,,m/s,mortality,,,,threshold,increase,E50 (strike velocity at 50% of asymptotic whole-fish mortality; max=0.55),Bluegill sunfish (Lepomis macrochirus),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 5,reported,,Mined,from runnable model DRM_bld_curv_bluegillsunfish (Eqn 10); see dose_response_models.csv
BladeBRM_brooktrout,Pflugrath2020c,blade strike,strike velocity,6.56,,m/s,mortality,,,,threshold,increase,E50 (strike velocity at 50% of asymptotic whole-fish mortality; max=0.52),Brook trout (Salvelinus fontinalis),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 5,reported,,Mined,from runnable model DRM_bld_curv_brooktrout (Eqn 10); see dose_response_models.csv
BladeBRM_gizzardshad,Pflugrath2020c,blade strike,strike velocity,7.7,,m/s,mortality,,,,threshold,increase,E50 (strike velocity at 50% of asymptotic whole-fish mortality; max=0.53),Gizzard shad (Dorosoma cepedianum),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 5,reported,,Mined,from runnable model DRM_bld_curv_gizzardshad (Eqn 10); see dose_response_models.csv
BladeBRM_hybridstripedbass,Pflugrath2020c,blade strike,strike velocity,8.6,,m/s,mortality,,,,threshold,increase,E50 (strike velocity at 50% of asymptotic whole-fish mortality; max=0.55),Hybrid striped bass (Morone saxatilis x M. chrysops),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 5,reported,,Mined,from runnable model DRM_bld_curv_hybridstripedbass (Eqn 10); see dose_response_models.csv
BladeBRM_rainbowtrout,Pflugrath2020c,blade strike,strike velocity,7.06,,m/s,mortality,,,,threshold,increase,E50 (strike velocity at 50% of asymptotic whole-fish mortality; max=0.54),Rainbow trout (Oncorhynchus mykiss),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 5,reported,,Mined,from runnable model DRM_bld_curv_rainbowtrout (Eqn 10); see dose_response_models.csv
ShearBRM_americanshad,Pflugrath2020b,shear,strain rate,688,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),American shad (Alosa sapidissima),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_americanshad (Eqn 14); see dose_response_models.csv
ShearBRM_atlanticsalmon,Pflugrath2020c,shear,strain rate,1511,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),Atlantic salmon (Salmo salar),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_atlanticsalmon (Eqn 14); see dose_response_models.csv
ShearBRM_atlanticherring,Pflugrath2020c,shear,strain rate,151,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),Atlantic herring (Clupea harengus),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_atlanticherring (Eqn 14); see dose_response_models.csv
ShearBRM_balashark,Pflugrath2020c,shear,strain rate,1299,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),Bala shark (Balantiocheilos melanopterus),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_balashark (Eqn 14); see dose_response_models.csv
ShearBRM_bluegourami,Colotelo2018,shear,strain rate,1946,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality) (extrapolated beyond ~1600 s-1 test range),Blue gourami (Trichopodus trichopterus),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_bluegourami (Eqn 14); see dose_response_models.csv
ShearBRM_bluegillandpumpkinse,Pflugrath2020c,shear,strain rate,1001,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),Bluegill and pumpkinseed (Lepomis macrochirus and L. gibbosus),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_bluegillandpumpkinse (Eqn 14); see dose_response_models.csv
ShearBRM_browntrout,Pflugrath2020c,shear,strain rate,1696,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality) (extrapolated beyond ~1600 s-1 test range),Brown trout (Salmo trutta),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_browntrout (Eqn 14); see dose_response_models.csv
ShearBRM_cohosalmon,Pflugrath2020c,shear,strain rate,1573,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),Coho salmon (Oncorhynchus kisutch),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_cohosalmon (Eqn 14); see dose_response_models.csv
ShearBRM_commonsole,Pflugrath2020c,shear,strain rate,951,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),Common sole (Solea solea),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_commonsole (Eqn 14); see dose_response_models.csv
ShearBRM_chinooksalmonfallsub,Pflugrath2020c,shear,strain rate,1051,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),"Chinook salmon, fall subyearling (Oncorhynchus tshawytscha)",,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_chinooksalmonfallsub (Eqn 14); see dose_response_models.csv
ShearBRM_chinooksalmonfallyea,Pflugrath2020c,shear,strain rate,1139,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),"Chinook salmon, fall yearling (Oncorhynchus tshawytscha)",,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_chinooksalmonfallyea (Eqn 14); see dose_response_models.csv
ShearBRM_chinooksalmonspring,Pflugrath2020c,shear,strain rate,1166,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),"Chinook salmon, spring (Oncorhynchus tshawytscha)",,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_chinooksalmonspring (Eqn 14); see dose_response_models.csv
ShearBRM_iridescentshark,Colotelo2018,shear,strain rate,1270,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),Iridescent shark (Pangasianodon hypophthalmus),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_iridescentshark (Eqn 14); see dose_response_models.csv
ShearBRM_largemouthbass,Pflugrath2020c,shear,strain rate,976,,s-1,mortality,,,,threshold,increase,S50 (strain rate at 50% mortality),Largemouth bass (Micropterus salmoides),,,,,,,,,laboratory simulated,immediate-to-48h,PNNL BRM Table 16,reported,,Mined,from runnable model DRM_shr_mort_largemouthbass (Eqn 14); see dose_response_models.csv
BladeSay20_rbt_lg,Saylor2020,blade strike,strike velocity,6.59,,m/s,mortality,,,,threshold,increase,"E50 (strike velocity at 50%% mortality, mid-body 90 single strike)",Rainbow trout (Oncorhynchus mykiss),,TL 25.8 cm,,turbine,semicircular leading edge 26/52 mm,,,80,laboratory simulated,immediate-to-48h,Saylor 2020 Table 1,reported,,Mined,primary log-logistic; runnable model DRM_bld_llg_say20_rbt_lg
BladeSay20_rbt_sm,Saylor2020,blade strike,strike velocity,7.08,,m/s,mortality,,,,threshold,increase,"E50 (strike velocity at 50%% mortality, mid-body 90 single strike)",Rainbow trout (Oncorhynchus mykiss),,TL 11.4 cm,,turbine,semicircular leading edge 26/52 mm,,,78,laboratory simulated,immediate-to-48h,Saylor 2020 Table 1,reported,,Mined,primary log-logistic; runnable model DRM_bld_llg_say20_rbt_sm
BladeSay20_bkt,Saylor2020,blade strike,strike velocity,5.99,,m/s,mortality,,,,threshold,increase,"E50 (strike velocity at 50%% mortality, mid-body 90 single strike)",Brook trout (Salvelinus fontinalis),,TL 24.2 cm,,turbine,semicircular leading edge 26/52 mm,,,81,laboratory simulated,immediate-to-48h,Saylor 2020 Table 1,reported,,Mined,primary log-logistic; runnable model DRM_bld_llg_say20_bkt
BladeSay20_gzs,Saylor2020,blade strike,strike velocity,5.66,,m/s,mortality,,,,threshold,increase,"E50 (strike velocity at 50%% mortality, mid-body 90 single strike)",Gizzard shad (Dorosoma cepedianum),,TL 16.0 cm,,turbine,semicircular leading edge 26/52 mm,,,80,laboratory simulated,immediate-to-48h,Saylor 2020 Table 1,reported,,Mined,primary log-logistic; runnable model DRM_bld_llg_say20_gzs
BladeSay20_alosa,Saylor2020,blade strike,strike velocity,7.87,,m/s,mortality,,,,threshold,increase,"E50 (strike velocity at 50%% mortality, mid-body 90 single strike)",American shad and blueback herring (Alosa spp.),,TL 7.5 cm,,turbine,semicircular leading edge 26/52 mm,,,76,laboratory simulated,immediate-to-48h,Saylor 2020 Table 1,reported,,Mined,primary log-logistic; runnable model DRM_bld_llg_say20_alosa
BladeSay19_bg_sm,Saylor2019,blade strike,strike velocity,5.68,,m/s,mortality,,,,threshold,increase,"E50 (strike velocity at 50%% observed mortality, mid-body 90 single strike)",Bluegill sunfish (Lepomis macrochirus),,small,,turbine,semicircular leading edge 19/26/52 mm,,,,laboratory simulated,immediate-to-48h,Saylor 2019 Fig 2a,reported,,Mined,primary log-logistic; runnable model DRM_bld_llg_say19_bg_sm
BladeSay19_bg_md,Saylor2019,blade strike,strike velocity,6.43,,m/s,mortality,,,,threshold,increase,"E50 (strike velocity at 50%% observed mortality, mid-body 90 single strike)",Bluegill sunfish (Lepomis macrochirus),,medium,,turbine,semicircular leading edge 19/26/52 mm,,,,laboratory simulated,immediate-to-48h,Saylor 2019 Fig 2a,reported,,Mined,primary log-logistic; runnable model DRM_bld_llg_say19_bg_md
Amaral2020_r01,Amaral2020,blade strike,strike velocity,10,,m/s,survival,98.0,%,,point,varies,reported survival at fixed velocity; slant & strike-location effect,Rainbow trout (Oncorhynchus mykiss),,TL 100-200 mm,,turbine,"100 mm thick semicircular blade; L/t=2, 30 deg leading-edge slant, favourable mid-body location",,,,laboratory simulated,immediate-to-48h,Amaral 2020 Abstract/Results,reported,,Mined,primary; blade slant & within-body strike location strongly modify survival at constant velocity
